epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1040.01,0.82699,1.43163,0.90871,1.23231,0.57335,0.83673,0.76883,0.39844,0.554,0.7551,0.7129,0.36887,1.41686,2.42097,1.27926,1.84242,0.000812,0.000812,0.000812
62,1054.54,0.8891,1.43726,0.96089,1.31066,0.61187,0.70788,0.63234,0.31692,0.59423,0.68747,0.60644,0.30674,1.60152,2.6061,1.53136,2.11978,0.0007922,0.0007922,0.0007922
63,1069.24,0.796,1.43555,0.86235,1.24115,0.70574,0.68536,0.71284,0.35925,0.66015,0.69388,0.65489,0.33498,1.50677,2.40783,1.47684,1.9788,0.0007724,0.0007724,0.0007724
64,1083.79,0.81972,1.53846,0.92263,1.26325,0.6527,0.69043,0.69389,0.37491,0.6527,0.69043,0.68558,0.34366,1.41492,2.34624,1.4579,1.86902,0.0007526,0.0007526,0.0007526
65,1101.88,0.82077,1.49486,0.9527,1.25326,0.63122,0.76858,0.72895,0.3877,0.63122,0.76858,0.72855,0.37297,1.36305,2.36256,1.50684,1.82759,0.0007328,0.0007328,0.0007328
66,1117.75,0.79316,1.34334,0.85696,1.2179,0.72455,0.67347,0.7059,0.35851,0.69093,0.65306,0.70211,0.3743,1.37952,2.23866,1.56176,1.80409,0.000713,0.000713,0.000713
67,1132.58,0.79296,1.48587,0.86639,1.23636,0.6506,0.60809,0.60761,0.34004,0.7807,0.5086,0.61835,0.3459,1.41695,2.22662,1.67728,1.81708,0.0006932,0.0006932,0.0006932
68,1147.52,0.79729,1.45013,0.86231,1.24141,0.63967,0.57143,0.66501,0.31456,0.49516,0.67347,0.65428,0.29443,1.58334,2.4873,1.57218,1.9924,0.0006734,0.0006734,0.0006734
69,1161.54,0.87324,1.42748,0.93472,1.30235,0.58432,0.74596,0.66285,0.33535,0.52188,0.6906,0.6207,0.31478,1.45504,2.42982,1.53429,1.88071,0.0006536,0.0006536,0.0006536
70,1179.94,0.76487,1.43165,0.86169,1.21684,0.64756,0.77551,0.70998,0.38186,0.62025,0.73334,0.65898,0.3522,1.41174,2.43646,1.49752,1.8364,0.0006338,0.0006338,0.0006338
71,1199.12,0.76553,1.34531,0.89595,1.20626,0.69931,0.75946,0.74677,0.42616,0.68897,0.67816,0.7186,0.39707,1.41786,2.23817,1.35471,1.82905,0.000614,0.000614,0.000614
72,1213.55,0.68677,1.25244,0.80813,1.16599,0.58562,0.80763,0.7389,0.41373,0.6833,0.65306,0.70136,0.38358,1.39618,2.22733,1.29519,1.79262,0.0005942,0.0005942,0.0005942
73,1228.39,0.79547,1.30822,0.90055,1.23583,0.69861,0.67347,0.66237,0.36611,0.69165,0.63265,0.63276,0.34322,1.45455,2.30794,1.41914,1.80788,0.0005744,0.0005744,0.0005744
