                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.4924,                 2.3623,                 1.4038,                 1.4666,                0.59184,                0.45634,                0.47072,                 0.2497,                0.57535,                 0.3818,                0.40997,                0.19863,                 1.6487,                 2.6299,                 1.5616,                 1.6322,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.4697,                 2.3065,                 1.4032,                 1.4408,                0.45626,                0.50007,                0.45354,                0.24391,                0.40386,                0.46558,                0.38678,                0.19534,                 1.6486,                 2.7194,                 1.7255,                 1.6805,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.4608,                  2.301,                 1.3648,                 1.4326,                0.51176,                0.47182,                0.45701,                0.24701,                0.49769,                0.41283,                0.39171,                0.19691,                 1.6486,                 2.5971,                 1.6127,                 1.6766,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.4922,                  2.323,                 1.3918,                 1.4167,                0.32615,                0.35845,                0.28606,                0.13736,                0.26993,                0.31773,                0.25249,                0.12224,                 1.8484,                 2.9887,                 2.2935,                 1.8127,               0.009208,               0.009208,               0.009208
                     82,                 1.4989,                 2.3302,                 1.4201,                 1.4658,                 0.4048,                  0.374,                0.33573,                0.17456,                0.36736,                0.30204,                0.28397,                0.15572,                 1.7921,                 3.1225,                 2.2012,                 1.7604,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.4606,                 2.2231,                 1.3507,                 1.4433,                0.57161,                0.42431,                0.44673,                0.23175,                 0.5142,                0.39437,                0.37708,                0.18593,                    nan,                    nan,                    nan,                    nan,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.4226,                 2.2296,                 1.3111,                   1.39,                0.50161,                0.44325,                0.43826,                0.24424,                0.50026,                0.40564,                0.38242,                0.19247,                 1.6075,                 2.5496,                 1.5711,                 1.6051,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.4067,                 2.2326,                 1.3182,                 1.4096,                0.48571,                  0.463,                0.45026,                 0.2356,                0.42794,                 0.4462,                0.39257,                0.18332,                 1.6658,                 2.7385,                 1.5922,                 1.6469,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.4311,                 2.2229,                   1.32,                 1.4218,                0.43846,                0.15514,                0.16752,                0.07785,                0.33895,                0.12881,                  0.106,                0.04871,                 2.7199,                 7.8493,                 3.7564,                 5.1304,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.4467,                 2.2425,                 1.3181,                  1.402,                0.19188,                0.06339,                0.07281,                0.03108,                 0.1281,                0.03389,                0.02875,                0.01397,                  3.423,                 11.186,                 5.0784,                 9.4388,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.4308,                 2.2502,                 1.3544,                 1.4163,                0.65723,                0.36032,                0.43027,                0.23038,                0.54701,                0.36171,                0.36469,                0.18096,                 1.7421,                 2.8851,                 1.8935,                 1.7454,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.4228,                 2.2312,                 1.3143,                  1.401,                0.61987,                0.47275,                0.51616,                0.27693,                0.52264,                0.45344,                0.45134,                0.22342,                 1.6249,                 2.4527,                 1.5102,                 1.6412,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.4249,                 2.1935,                 1.3231,                 1.4072,                0.51613,                0.48093,                0.46632,                0.24713,                0.45925,                0.42417,                0.40639,                0.19481,                 1.6167,                 2.5282,                 1.5516,                 1.6229,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.4276,                 2.2294,                 1.3448,                 1.4202,                0.48246,                0.44715,                0.44117,                0.23924,                0.50031,                 0.4049,                0.39742,                0.20471,                 1.7188,                 2.6552,                 1.6176,                 1.6704,               0.009109,               0.009109,               0.009109
                     92,                 1.3758,                 2.2068,                 1.2959,                 1.3734,                0.39105,                0.37337,                0.34703,                0.18663,                0.37985,                0.35154,                0.32437,                0.16366,                 1.7149,                 2.8942,                 1.8521,                 1.7763,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.3755,                 2.2226,                 1.2784,                 1.3791,                0.61644,                 0.4763,                0.49952,                0.26403,                0.51935,                0.44449,                0.42569,                0.21847,                   1.64,                  2.623,                  1.589,                  1.646,              0.0090892,              0.0090892,              0.0090892
